X,Y,Ponto,X,Y,Data,Período,Limite,LAEq,L90,LAEq_Rlaeq,L90_Rlaeq,Obs,icon_url
-49.3255997820092,-28.6032781500668,"1","663718","6834821",13/10/2021,Diurno,"60","59,66","55,65",Atende,Atende,,./0.png
-49.3257189560736,-28.604145963976,"2","663705","6834725",13/10/2021,Diurno,"60","56,66","50,4",Atende,Atende,,./0.png
-49.3256394415495,-28.6052910801736,"3","663711","6834598",13/10/2021,Diurno,"60","52,13","46,66",Atende,Atende,,./0.png
-49.325659303378,-28.6066179113941,"4","663707","6834451",13/10/2021,Diurno,"60","59,31","55,57",Atende,Atende,,./0.png
-49.3257209845359,-28.60853184434,"5","663698","6834239",13/10/2021,Diurno,"60","54","45,58",Atende,Atende,,./0.png
-49.3243760213716,-28.6088671769943,"6","663829","6834200",13/10/2021,Diurno,"60","63,17","50,84",Não Atende,Atende,Influência da Rod. Ambrósio Dalló e de animais,./1.png
-49.3229737178837,-28.6089491039106,"7","663966","6834189",13/10/2021,Diurno,"60","59,85","50,75",Atende,Atende,,./0.png
-49.3210417590861,-28.6088981157792,"8","664155","6834192",13/10/2021,Diurno,"50","47","45,49",Atende,Atende,,./0.png
-49.3211129693509,-28.6076355845922,"9","664150","6834332",13/10/2021,Diurno,"50","49,97","45,63",Atende,Atende,,./0.png
-49.3210370230594,-28.6066239133239,"10","664159","6834444",13/10/2021,Diurno,"50","49,56","45,59",Atende,Atende,,./0.png
-49.321055712737,-28.6060917062651,"11","664158","6834503",13/10/2021,Diurno,"50","51,16","50,42",Não Atende,Não Atende,Ruído da empresa,./2.png
-49.3209829604786,-28.6055222691285,"12","664166","6834566",13/10/2021,Diurno,"50","51,76","46,81",Não Atende,Atende,Influência de latido de animais,./1.png
-49.3203220250715,-28.6059292031892,"13","664230","6834520",13/10/2021,Diurno,"50","65,23","46,08",Não Atende,Atende,Influência de latido de animais e vento nas árvores,./1.png
-49.3203068882897,-28.6055951135528,"14","664232","6834557",13/10/2021,Diurno,"50","46,77","45,47",Atende,Atende,,./0.png
-49.319544428189,-28.6059556638656,"15","664306","6834516",13/10/2021,Diurno,"50","40,03","35,73",Atende,Atende,,./0.png
-49.3194594496383,-28.6055124158932,"16","664315","6834565",13/10/2021,Diurno,"50","42,59","40,5",Atende,Atende,,./0.png
-49.3203232519041,-28.6045665367979,"17","664232","6834671",13/10/2021,Diurno,"50","46,82","45,33",Atende,Atende,,./0.png
-49.3209921066655,-28.6043040906339,"18","664167","6834701",13/10/2021,Diurno,"50","46,23","42,51",Atende,Atende,,./0.png
-49.3239998968203,-28.6022837466518,"19","663876","6834929",13/10/2021,Diurno,"55","44,35","40,6",Atende,Atende,,./0.png
-49.3239012076847,-28.6033474050304,"20","663884","6834811",13/10/2021,Diurno,"55","55,07","50,87",Não Atende,Atende,Som esporádico de quebras,./1.png
-49.3252842767483,-28.6031840090736,"21","663749","6834831",13/10/2021,Diurno,"55","53,81","50,51",Atende,Atende,,./0.png
