X,Y,Ponto,Data,X,Y,Medição,Período,Limite,LAEq,L90,LAEq_Rlaeq,L90_Rlaeq,Obs,icon_url
-49.3256612676014,-28.6032698850363,"1",2015/06/25,"663712","6834822",2015 Diurno,Diurno,"60",65.90,,Não atende,,Influência rua Maximiliano Gaidizinski,./0.png
-49.3257189560736,-28.604145963976,"2",2015/06/25,"663705","6834725",2015 Diurno,Diurno,"60",64.00,,Não atende,,Influência rua Maximiliano Gaidizinski,./0.png
-49.3256394415495,-28.6052910801736,"3",2015/06/25,"663711","6834598",2015 Diurno,Diurno,"60",64.60,,Não atende,,Influência rua Maximiliano Gaidizinski,./0.png
-49.3256695274546,-28.6066180376716,"4",2015/06/25,"663706","6834451",2015 Diurno,Diurno,"60",65.50,,Não atende,,Influência rua Maximiliano Gaidizinski,./0.png
-49.3257209845359,-28.60853184434,"5",2015/06/25,"663698","6834239",2015 Diurno,Diurno,"60",64.70,,Não atende,,Influência rua Ambrósio Dalló,./0.png
-49.3243750188578,-28.6089303353121,"6",2015/06/25,"663829","6834193",2015 Diurno,Diurno,"60",69.80,,Não atende,,Influência rua Ambrósio Dalló,./0.png
-49.3229737178837,-28.6089491039106,"7",2015/06/25,"663966","6834189",2015 Diurno,Diurno,"60",66.30,,Não atende,,Influência rua Ambrósio Dalló,./0.png
-49.3210417590861,-28.6088981157792,"8",2015/06/25,"664155","6834192",2015 Diurno,Diurno,"60",61.10,,Não atende,,Influência rua Ambrósio Dalló,./0.png
-49.3210516244443,-28.6076348248297,"9",2015/06/25,"664156","6834332",2015 Diurno,Diurno,"60",60.60,,Não atende,,,./0.png
-49.3210370230594,-28.6066239133239,"10",2015/06/25,"664159","6834444",2015 Diurno,Diurno,"60",53.60,,Atende,,,./0.png
-49.321055712737,-28.6060917062651,"11",2015/06/25,"664158","6834503",2015 Diurno,Diurno,"60",59.80,,Atende,,,./0.png
-49.3210034083708,-28.6055225223791,"12",2015/06/25,"664164","6834566",2015 Diurno,Diurno,"60",62.50,,Não atende,,,./0.png
-49.3203220250715,-28.6059292031892,"13",2015/06/25,"664230","6834520",2015 Diurno,Diurno,"60",58.20,,Atende,,,./0.png
-49.3203068882897,-28.6055951135528,"14",2015/06/25,"664232","6834557",2015 Diurno,Diurno,"60",57.30,,Atende,,,./0.png
-49.319544428189,-28.6059556638656,"15",2015/06/25,"664306","6834516",2015 Diurno,Diurno,"60",55.80,,Atende,,,./0.png
-49.3194594496383,-28.6055124158932,"16",2015/06/25,"664315","6834565",2015 Diurno,Diurno,"60",53.00,,Atende,,,./0.png
-49.3203232519041,-28.6045665367979,"17",2015/06/25,"664232","6834671",2015 Diurno,Diurno,"60",57.90,,Atende,,,./0.png
-49.3209921066655,-28.6043040906339,"18",2015/06/25,"664167","6834701",2015 Diurno,Diurno,"60",52.70,,Atende,,,./0.png
-49.3239597182894,-28.6022381279847,"19",2015/06/25,"663880","6834934",2015 Diurno,Diurno,"60",67.90,,Não atende,,Influência rua local,./0.png
-49.3238420136094,-28.6032113073052,"20",2015/06/25,"663890","6834826",2015 Diurno,Diurno,"60",64.20,,Não atende,,Influência rua local,./0.png
-49.3252842767483,-28.6031840090736,"21",2015/06/25,"663749","6834831",2015 Diurno,Diurno,"60",67.40,,Não atende,,Influência rua local,./0.png
-49.3256612676014,-28.6032698850363,"1",2015/05/26,"663712","6834822",2015 Noturno,Noturno,"55",62.50,,Não atende,,Influência rua Maximiliano Gaidizinski,./0.png
-49.3257189560736,-28.604145963976,"2",2015/05/26,"663705","6834725",2015 Noturno,Noturno,"55",62.80,,Não atende,,Influência rua Maximiliano Gaidizinski,./0.png
-49.3256394415495,-28.6052910801736,"3",2015/05/26,"663711","6834598",2015 Noturno,Noturno,"55",66.10,,Não atende,,Influência rua Maximiliano Gaidizinski,./0.png
-49.3256695274546,-28.6066180376716,"4",2015/05/26,"663706","6834451",2015 Noturno,Noturno,"55",65.00,,Não atende,,Influência rua Maximiliano Gaidizinski,./0.png
-49.3257209845359,-28.60853184434,"5",2015/05/26,"663698","6834239",2015 Noturno,Noturno,"55",58.20,,Não atende,,Influência rua Ambrósio Dalló,./0.png
-49.3243750188578,-28.6089303353121,"6",2015/05/26,"663829","6834193",2015 Noturno,Noturno,"55",58.70,,Não atende,,Influência rua Ambrósio Dalló,./0.png
-49.3229737178837,-28.6089491039106,"7",2015/05/26,"663966","6834189",2015 Noturno,Noturno,"55",59.40,,Não atende,,Influência rua Ambrósio Dalló,./0.png
-49.3210417590861,-28.6088981157792,"8",2015/05/26,"664155","6834192",2015 Noturno,Noturno,"55",62.10,,Não atende,,Influência rua Ambrósio Dalló,./0.png
-49.3210516244443,-28.6076348248297,"9",2015/05/26,"664156","6834332",2015 Noturno,Noturno,"55",55.60,,Não atende,,,./0.png
-49.3210370230594,-28.6066239133239,"10",2015/05/26,"664159","6834444",2015 Noturno,Noturno,"55",53.60,,Atende,,,./0.png
-49.321055712737,-28.6060917062651,"11",2015/05/26,"664158","6834503",2015 Noturno,Noturno,"55",58.20,,Não atende,,,./0.png
-49.3210034083708,-28.6055225223791,"12",2015/05/26,"664164","6834566",2015 Noturno,Noturno,"55",58.10,,Não atende,,,./0.png
-49.3203220250715,-28.6059292031892,"13",2015/05/26,"664230","6834520",2015 Noturno,Noturno,"55",61.10,,Não atende,,,./0.png
-49.3203068882897,-28.6055951135528,"14",2015/05/26,"664232","6834557",2015 Noturno,Noturno,"55",60.70,,Não atende,,,./0.png
-49.319544428189,-28.6059556638656,"15",2015/05/26,"664306","6834516",2015 Noturno,Noturno,"55",52.50,,Atende,,,./0.png
-49.3194594496383,-28.6055124158932,"16",2015/05/26,"664315","6834565",2015 Noturno,Noturno,"55",54.10,,Atende,,,./0.png
-49.3203232519041,-28.6045665367979,"17",2015/05/26,"664232","6834671",2015 Noturno,Noturno,"55",58.40,,Não atende,,,./0.png
-49.3209921066655,-28.6043040906339,"18",2015/05/26,"664167","6834701",2015 Noturno,Noturno,"55",56.30,,Não atende,,,./0.png
-49.3239597182894,-28.6022381279847,"19",2015/05/26,"663880","6834934",2015 Noturno,Noturno,"55",53.70,,Atende,,,./0.png
-49.3238420136094,-28.6032113073052,"20",2015/05/26,"663890","6834826",2015 Noturno,Noturno,"55",61.60,,Não atende,,Influência rua local,./0.png
-49.3252842767483,-28.6031840090736,"21",2015/05/26,"663749","6834831",2015 Noturno,Noturno,"55",59.30,,Não atende,,Influência rua local,./0.png
-49.3256612676014,-28.6032698850363,"1",2017/04/07,"663712","6834822",2017 Diurno,Diurno,"60",57.70,,Atende,,,./0.png
-49.3257189560736,-28.604145963976,"2",2017/04/07,"663705","6834725",2017 Diurno,Diurno,"60",53.80,,Atende,,,./0.png
-49.3256394415495,-28.6052910801736,"3",2017/04/07,"663711","6834598",2017 Diurno,Diurno,"60",53.60,,Atende,,,./0.png
-49.3256695274546,-28.6066180376716,"4",2017/04/07,"663706","6834451",2017 Diurno,Diurno,"60",55.10,,Atende,,,./0.png
-49.3257209845359,-28.60853184434,"5",2017/04/07,"663698","6834239",2017 Diurno,Diurno,"60",55.60,,Atende,,,./0.png
-49.3243750188578,-28.6089303353121,"6",2017/04/07,"663829","6834193",2017 Diurno,Diurno,"60",56.70,,Atende,,,./0.png
-49.3229737178837,-28.6089491039106,"7",2017/04/07,"663966","6834189",2017 Diurno,Diurno,"60",64.40,,Não atende,,Influência rua Ambrósio Dalló,./0.png
-49.3210417590861,-28.6088981157792,"8",2017/04/07,"664155","6834192",2017 Diurno,Diurno,"60",52.90,,Atende,,,./0.png
-49.3210516244443,-28.6076348248297,"9",2017/04/07,"664156","6834332",2017 Diurno,Diurno,"60",53.90,,Atende,,,./0.png
-49.3210370230594,-28.6066239133239,"10",2017/04/07,"664159","6834444",2017 Diurno,Diurno,"60",55.10,,Atende,,,./0.png
-49.321055712737,-28.6060917062651,"11",2017/04/07,"664158","6834503",2017 Diurno,Diurno,"60",55.00,,Atende,,,./0.png
-49.3210034083708,-28.6055225223791,"12",2017/04/07,"664164","6834566",2017 Diurno,Diurno,"60",51.80,,Atende,,,./0.png
-49.3203220250715,-28.6059292031892,"13",2017/04/07,"664230","6834520",2017 Diurno,Diurno,"60",52.30,,Atende,,,./0.png
-49.3203068882897,-28.6055951135528,"14",2017/04/07,"664232","6834557",2017 Diurno,Diurno,"60",52.00,,Atende,,,./0.png
-49.319544428189,-28.6059556638656,"15",2017/04/07,"664306","6834516",2017 Diurno,Diurno,"60",49.50,,Atende,,,./0.png
-49.3194594496383,-28.6055124158932,"16",2017/04/07,"664315","6834565",2017 Diurno,Diurno,"60",50.10,,Atende,,,./0.png
-49.3203232519041,-28.6045665367979,"17",2017/04/07,"664232","6834671",2017 Diurno,Diurno,"60",55.80,,Atende,,,./0.png
-49.3209921066655,-28.6043040906339,"18",2017/04/07,"664167","6834701",2017 Diurno,Diurno,"60",49.50,,Atende,,,./0.png
-49.3239597182894,-28.6022381279847,"19",2017/04/07,"663880","6834934",2017 Diurno,Diurno,"60",58.20,,Atende,,,./0.png
